id,referencia,nombre,descripcion,id_tipo,cantidad,precio,descuento,iva,aplicarIva
493,RKE-06182,Californian Raisins,"Sweet dried raisins, perfect for snacks or baking.",2,14,3.19,13,7,false
494,GQJ-69923,Chocolate Hazelnut Granola,Crunchy granola with chocolate and hazelnuts for breakfast.,6,16,4.49,21,21,false
495,ZZK-48917,Silicone Baking Molds,Set of flexible molds for baking cakes and pastries.,6,17,15.99,10,11,true
496,WFP-19591,Chocolate Coconut Protein Balls,No-bake protein balls with chocolate and coconut flavors.,4,4,2.99,23,11,true
497,ASR-42974,Travel Pillow,Memory foam travel pillow for neck support.,5,12,22.99,17,7,false
498,FWA-00917,Knitted Infinity Scarf,A warm knitted scarf to keep you cozy in winter.,4,21,29.99,16,21,false
499,KEH-29579,Butternut Squash Ravioli,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce.",6,19,6.29,13,11,false
500,HGW-26662,Falafel Mix,Easy-to-make falafel mix for a tasty vegetarian meal.,4,16,2.79,18,7,false
501,EBH-85514,Wireless Charging Station,Charge multiple devices with this sleek charging station.,1,4,39.99,18,7,false
502,UNG-91052,Scented Candles,Set of three aromatic candles with various scents.,3,13,19.99,11,21,false
503,PTK-24368,Luxury Yoga Mat,"High-density, non-slip yoga mat for stability and comfort.",6,10,39.99,8,21,false
504,VAY-13360,Wireless Printer,Compact wireless printer for home use.,3,23,99.99,21,21,false
505,ECU-26340,Body Wash,Moisturizing body wash with natural ingredients.,3,15,12.99,20,7,false
506,DQY-66940,Cinnamon Sugar Donuts,Delicious mini donuts dusted with cinnamon sugar.,5,20,4.99,20,11,false
507,VBG-96609,Two-Tier Fruit Basket,Stylish fruit basket for kitchen or dining room.,1,11,29.99,21,7,true
508,QKT-46758,Smart Home Security Camera,Wi-Fi camera with motion detection for home security.,4,9,79.99,20,21,false
509,ERA-34136,Backpack,Durable and spacious backpack for travel and school.,2,2,49.99,24,21,false
510,RSH-83023,Italian Sausage and Peppers,A flavorful blend of Italian sausage with sautéed peppers and onions.,2,4,8.99,24,11,true
511,HHI-44687,Nutty Granola Clusters,Crunchy granola clusters mixed with nuts and honey.,1,2,2.49,16,7,false
512,EVJ-96799,Gluten-Free Biscuits,Fluffy biscuits made without gluten,2,13,3.79,15,11,true
513,PCX-67172,Rice Cakes,"Light and crispy rice cakes, a perfect low-calorie snack.",4,8,2.29,5,11,false
514,CQN-85952,Compact Electric Kettle,Quick-boiling kettle for home and office use.,5,11,29.99,9,21,false
515,TMZ-50374,Chickpea Snack Mix,"Crunchy, seasoned chickpeas for a wholesome snack.",2,24,3.49,7,21,false
516,TGI-76130,Frozen Pizza,Delicious frozen pizza with a variety of toppings.,6,23,7.99,14,11,true
517,OEW-14409,Coconut Cream,"Rich cream extracted from coconut milk, ideal for desserts.",4,8,2.99,7,21,true
518,MEM-95954,Nutritional Yeast,A healthy vegan cheese alternative packed with nutrients and flavor.,2,8,3.59,13,21,false
519,YYX-24398,Over-Ear Headphones,Comfortable over-ear headphones with deep bass.,4,2,59.99,21,7,false
520,ASC-41767,Hibiscus Tea Bags,Herbal tea bags made from dried hibiscus flowers.,6,14,3.79,7,7,false
521,JBV-36095,Miso Soup Starter,Miso paste for making traditional Japanese miso soup.,3,2,2.99,5,21,true
522,NFX-33351,Herbed Mushroom Risotto,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course.",6,22,5.49,5,7,true
523,EVZ-68034,Wireless Range Extender,Boost your Wi-Fi signal for better coverage.,6,13,49.99,21,11,false
524,EQL-41200,Non-Stick Crepe Pan,Perfectly designed pan for making crepes and pancakes.,6,13,29.99,20,7,false
525,RWN-95234,Sunglasses,Polarized sunglasses with UV protection.,2,16,29.99,14,11,false
526,RQB-35467,Pet Bed with Removable Cover,Comfy pet bed with washable cover for easy cleaning.,6,14,49.99,22,21,false
527,ZHO-72423,Sweet BBQ Dipping Sauce,Perfectly balanced sweet and tangy BBQ sauce for dipping or grilling.,6,19,3.49,7,11,true
528,AAP-34226,Kids' Trampoline,Safe and fun trampoline for children.,2,8,139.99,11,21,false
529,ZDL-00583,Samsung Galaxy Smartwatch,Stylish smartwatch with fitness tracking and notifications.,1,24,249.99,25,21,false
530,BAN-43344,Nut Butter Cups,Delicious dark chocolate with creamy nut butter inside.,3,16,3.99,19,11,true
531,UAC-61472,Vegetarian Stir Fry Sauce,Flavorful sauce perfect for stir-frying vegetables and tofu.,3,8,2.49,7,7,true
532,QGT-50003,Stainless Steel Grater,Multi-functional grater for cheese and vegetables.,2,22,14.99,22,11,true
533,AXN-34377,Magnetic Phone Car Mount,Strong magnetic holder for smartphones in cars.,3,6,14.99,7,7,false
534,ISN-35122,Graphic Print Leggings,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",6,20,29.99,6,7,true
535,PFZ-04601,Wall Decals for Kids,Fun and colorful wall decals for children's rooms.,4,12,24.99,9,11,true
536,VGP-42949,Graphic Sweatshirt,A comfortable sweatshirt featuring a bold graphic print.,2,20,34.99,14,7,true
537,PUM-41074,Mango Salsa,Fresh mango salsa with a hint of lime for a zesty topping.,2,14,3.49,9,21,true
538,RDZ-19142,Lightweight Rain Jacket,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",2,2,79.99,7,7,false
539,DKT-11888,Canvas Wall Art,Stylish wall art to enhance home decor.,2,18,39.99,15,7,true
540,UXE-75963,Fire Roasted Salsa,Salsa made with fire-roasted tomatoes for an authentic flavor.,2,20,2.49,19,11,true
541,JRG-96800,Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,1,15,5.99,7,11,true
542,VZQ-23196,Cinnamon Sugar Donuts,Delicious mini donuts dusted with cinnamon sugar.,1,14,4.99,11,11,false
543,UPG-47469,Mini Air Hockey Table,Fun tabletop air hockey for home or office.,1,12,39.99,10,7,true
544,MBK-73851,Fitness Mat,Thick and durable mat for workouts and yoga.,4,16,49.99,15,7,false
545,VCD-63172,Organic Lentil Soup,A hearty soup made with organic lentils and vegetables.,6,21,4.99,5,7,false
546,TCZ-95892,Mango Chia Pudding,Healthy chia pudding made with mango and coconut milk.,5,16,4.49,16,7,false
547,PYV-33396,Vegetarian Sausage Links,Plant-based sausage links with spices and herbs.,2,14,5.89,21,21,false
548,TES-28944,Eco-Friendly Yoga Blocks,Sustainable foam blocks for yoga practice.,4,5,15.99,17,7,true
549,WTM-76872,V-Neck Sweater,Classic V-neck sweater crafted from soft wool for warmth and style.,4,3,49.99,19,21,true
550,FVI-64907,Pet Grooming Brush,Self-cleaning grooming brush for cats and dogs.,3,14,19.99,24,7,false
551,LBF-32683,Sun-Dried Tomato Pesto,A rich pesto made with sun-dried tomatoes and pine nuts.,5,6,4.49,5,21,true
552,XLF-32809,Reflective Safety Vest,Bright safety vest for outdoor visibility during any activity.,6,23,19.99,8,11,true
553,QJD-74551,Fettuccine Alfredo Dinner Kit,Easy meal kit for creamy fettuccine Alfredo.,6,25,5.49,6,7,false
554,UQS-98401,Garlic Parmesan Roasted Potatoes,Oven-roasted potatoes tossed in garlic and parmesan cheese seasoning.,6,3,3.99,12,7,true
555,YWG-66442,Coffee Making Kit,Complete set to brew coffee with different methods.,3,22,44.99,17,7,true
556,NPQ-56203,Travel Laundry Bag,Compact laundry bag for travel use.,5,7,9.99,12,21,false
557,WZL-32630,Classic Bagels,"Freshly baked bagels, perfect for breakfast or snacks.",6,8,2.99,11,7,false
558,SUJ-09590,Lemon Dill Salmon,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",6,2,9.99,16,21,true
559,NWB-86738,Yoga Wheel,Supportive yoga wheel for deep stretching and balance.,2,2,34.99,17,21,true
560,FWL-00348,Stainless Steel Mixing Bowls,Set of versatile mixing bowls for cooking.,2,14,29.99,22,7,false
561,QWS-83525,Rechargeable Battery Organizer,Tidy storage solution for rechargeable batteries.,5,4,17.99,18,21,false
562,DUH-58000,Luxury Yoga Mat,"High-density, non-slip yoga mat for stability and comfort.",4,4,39.99,14,11,true
563,IKK-16819,Spiced Pumpkin Soup,"A creamy pumpkin soup with a blend of warm spices, ready to heat and serve.",3,9,3.99,8,11,true
564,SPL-90447,Stainless Steel Mixing Bowls,Set of versatile mixing bowls for cooking.,4,10,29.99,25,7,false
565,INL-93164,Pet Water Fountain,Automatic water fountain for pets with filtration.,2,25,39.99,16,11,true
566,OQK-69774,Crispy Tofu Bites,"Crispy on the outside, tender on the inside, perfect for stir-fries or salads.",1,11,4.99,16,11,false
567,GDK-98681,Personal Blender with Travel Cup,Blender for smoothies with a portable cup.,1,25,39.99,9,11,false
568,QJI-62363,Frozen Salmon Filets,"Wild-caught salmon filets, perfect for grilling or baking.",5,12,12.99,7,7,false
569,SIA-99506,Pumpkin Pancake Mix,Easy-to-make pancake mix with pumpkin spice flavor.,3,4,4.19,19,11,true
570,WFD-21853,Whisk Set,Set of whisks in various sizes for cooking.,1,13,12.99,6,21,false
571,QOD-32731,Sweet and Spicy Barbecue Sauce,A flavorful barbecue sauce with a sweet and spicy kick.,3,10,3.99,20,11,false
572,RNB-79125,Honey Butter Popcorn,Light and fluffy popcorn coated in sweet honey butter.,3,15,2.99,25,11,true
573,ICZ-04840,Classic Pesto Sauce,"Fresh basil pesto, perfect for pasta or as a sandwich spread.",1,15,4.29,13,7,true
574,YCL-93096,Linen Trousers,Breathable linen trousers perfect for hot weather.,6,3,44.99,19,7,true
575,NKS-65253,Coffee Grinder,Burr coffee grinder for fresh ground coffee.,5,19,39.99,22,7,true
576,JZL-72562,Smoked Gouda Cheese,Rich and creamy smoked Gouda cheese perfect for snacking.,6,19,5.49,7,7,true
577,EQQ-22295,Cookbook,Inspiring cookbook with healthy recipes.,1,11,27.99,6,11,true
578,CBT-26970,Baked Potato Chips,"Light and crispy baked chips, a healthier snack option.",6,14,2.49,8,21,true
579,LQX-77410,Turkey Bacon,"Delicious turkey bacon, a healthier alternative.",4,19,3.99,24,21,true
580,LAR-57881,Smart Home Security Camera,Wi-Fi camera with motion detection for home security.,3,15,79.99,15,7,true
581,TFA-43586,Oven-Baked Parmesan Zucchini,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying.",1,11,4.99,5,21,true
582,FQH-12937,Coconut Water,"Refreshing coconut water, perfect for hydration.",3,13,2.49,8,21,false
583,UQS-16480,Ankle Boots,"Stylish leather ankle boots with a block heel, perfect for fall styling.",5,19,89.99,17,11,false
584,PEB-56381,Fruit and Nut Medley,A healthy mix of assorted dried fruits and nuts for snacking.,5,18,5.99,13,11,false
585,UAS-44025,Italian Breadsticks,Crispy breadsticks seasoned with herbs and garlic.,4,21,2.49,14,11,false
586,FYY-34581,Essential Oils Diffuser Necklace,Wearable diffuser for scenting your space and body.,2,16,19.99,14,11,false
587,XDK-88628,Mediterranean Couscous Salad,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",5,11,5.49,15,11,false
588,GWQ-87045,Veggie Lovers Pizza,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,6,16,8.99,21,11,false
589,NYD-56948,Coconut Yogurt,"Creamy yogurt made from coconut milk, dairy-free and delicious.",1,24,3.89,19,21,true
590,TCE-56068,Sporty Slide Sandals,Comfortable slide sandals for lounging by the pool.,4,8,24.99,20,21,false
591,PYK-16563,Compact Electric Kettle,Quick-boiling kettle for home and office use.,2,15,29.99,15,11,true
592,HVW-94901,Garden Hose Reel,Compact hose reel to keep your garden tidy.,5,4,49.99,12,21,true
593,OBK-06104,Pumpkin Spice Muffins,Moist and flavorful muffins packed with fall spices and pumpkin puree.,4,14,3.99,25,7,false
594,DQE-50489,Mini Hand Gesture Drone,Toy drone that flies with gestures and is easy to control.,6,12,29.99,11,11,true
595,BPF-78012,Thai Basil Fried Rice,Fragrant fried rice with authentic Thai basil and veggies.,4,10,5.99,8,21,false
596,IOU-74950,Fruit and Nut Medley,A healthy mix of assorted dried fruits and nuts for snacking.,5,16,5.99,9,21,false
597,QJH-26804,DIY Candle Kit,Everything you need to make your own scented candles at home.,6,9,34.99,5,7,false
598,ZQX-60126,Blueberry Chia Jam,"Homemade jam made with blueberries and chia seeds, no added sugar.",1,19,4.99,7,7,true
599,NOK-40976,Outdoor Inflatable Pool,Large inflatable pool for summer fun in your backyard.,4,4,149.99,19,21,true
600,JFA-47898,Cable Knit Beanie,A cozy cable knit beanie to keep your head warm in winter.,5,4,19.99,11,7,false
601,UPQ-23939,Adjustable Standing Desk,Ergonomic desk that adjusts height for standing or sitting.,3,17,299.99,6,7,false
602,UPG-92123,Veggie Burger Patties,Delicious veggie burger patties for grilling or frying.,5,4,5.99,11,21,false
603,GPD-80886,Motorcycle Phone Mount,Universal mount for smartphones on motorcycles.,6,2,14.99,16,11,false
604,HDI-45433,Inflatable Party Cooler,Fun inflatable cooler to keep drinks cold at parties.,6,18,19.99,18,11,true
605,VAF-97835,Peanut Butter Banana Smoothie,Smooth and creamy smoothie made with peanut butter and banana.,6,2,3.99,9,11,true
606,XBW-17675,Adjustable Laptop Stand,Ergonomic stand for laptops to improve posture while working.,6,11,29.99,5,11,false
607,FIA-87882,Lemon Sorbet,Refreshing sorbet with a zesty lemon flavor.,4,8,4.99,20,7,false
608,ULV-92059,Crispy Potato Tots,"Golden brown potato tots, crispy on the outside and fluffy inside.",3,19,3.69,12,21,false
609,TBI-03786,Fishing Tackle Box,Organized tackle box for fishing gear.,5,15,24.99,7,11,false
610,QJF-19447,Air Purifier,HEPA air purifier for clean indoor air.,2,6,129.99,12,21,true
611,MLT-10822,Beef Jerky,"Savory, protein-rich beef jerky for on-the-go snacking.",6,23,5.99,7,21,true
612,WQP-55722,Bamboo Toothbrush,Eco-friendly bamboo toothbrush for sustainable living.,5,5,5.99,25,11,true
613,LGW-86530,Hydration Backpack,Lightweight backpack with an insulated water reservoir for hydration on the go.,2,3,39.99,15,11,true
614,WOV-16802,Homemade Salsa,"Fresh salsa made with tomatoes, onions, and cilantro.",6,25,3.79,6,21,false
615,DBX-84440,Travel Orthopedic Pillow,Supportive pillow that provides comfort while traveling.,5,16,24.99,25,21,true
616,UTW-71686,Balsamic Salad Dressing,"Tangy and sweet balsamic dressing, perfect for salads.",5,5,2.99,25,7,true
617,MFD-93118,Beef Sirloin Steak,"Juicy and tender beef sirloin steak, grass-fed.",2,6,15.99,17,7,false
618,WDR-77295,Portable Hammock,Lightweight hammock for easy setup anywhere.,3,10,27.99,17,11,true
619,LFX-97455,Homestyle Beef Stew,"Hearty beef stew with vegetables, ready to heat and serve.",3,18,7.99,7,11,true
620,AQT-39466,Non-Toxic Crayons for Kids,Safe and vibrant crayons for children's art projects.,6,9,10.99,11,21,false
621,AVO-39307,Tomato Basil Soup,"A classic soup combining tomatoes and basil, great with grilled cheese sandwiches.",4,23,3.49,23,7,true
622,ZTS-04629,Mini Pretzels,"Crispy mini pretzels, a great snack any time of day.",4,5,2.99,12,7,false
623,RYY-41235,Mini Indoor Hydroponic Garden,Grow herbs indoors with this easy-to-use hydroponic garden system.,5,18,59.99,20,11,false
624,NUK-64973,Smartphone UV Sanitizer,UV light sanitizer for phones and small items.,5,10,39.99,13,11,false
625,VMS-28936,Rain Jacket,Waterproof rain jacket with adjustable hood.,2,19,64.99,20,21,false
626,BES-01542,Beef Chili,"Hearty beef chili, ready to heat and eat.",2,23,4.5,18,11,true
627,VSQ-44751,Adjustable Dog Harness,Comfortable and adjustable harness for dogs.,2,13,24.99,20,21,true
628,SXH-57850,Hibiscus Tea Bags,Herbal tea bags made from dried hibiscus flowers.,2,4,3.79,17,7,true
629,LLG-17141,Kids' Building Blocks,Colorful building blocks for creative play.,5,2,19.99,6,7,true
630,TUN-20431,Handcrafted Wooden Coasters,Set of unique wooden coasters for drinks and decor.,5,12,19.99,23,21,true
631,ZHU-62210,Rain Jacket,Waterproof rain jacket with adjustable hood.,1,17,64.99,7,21,false
632,RIF-67688,Crispy Tofu Bites,"Crispy on the outside, tender on the inside, perfect for stir-fries or salads.",1,7,4.99,15,21,false
633,ONA-26499,Reusable Silicone Food Storage Bags,Eco-friendly bags for storing food without plastic waste.,4,13,19.99,7,7,false
634,KSV-08497,Slingback Sandals,Chic slingback sandals for a relaxed summer vibe.,2,24,29.99,12,21,false
635,CBE-95680,Wireless Charging Pad,Sleek wireless charging pad for smartphones.,2,3,19.99,13,21,true
636,UFE-64004,Elderberry Syrup,Natural elderberry syrup to boost immunity.,4,15,11.99,5,21,false
637,CGA-24140,Tattoo Kit,Complete tattoo kit for beginners and professionals.,5,9,99.99,13,7,true
638,VMT-32451,High-Quality Yoga Block,Foam yoga block for enhancing poses and stability.,1,22,12.99,22,7,false
639,GXD-50941,Sparkling Blood Orange Soda,A refreshing sparkling beverage with a bold blood orange flavor.,3,3,1.99,10,7,false
640,RYW-14839,High-Pressure Handheld Shower Head,Shower head designed for a strong spray and complete coverage.,3,8,39.99,6,7,false
641,AAE-47919,Wine Decanter,Elegant glass decanter for aerating wine.,2,24,34.99,21,21,false
642,ZNZ-26875,Smartphone Stand,Adjustable stand for smartphones and tablets.,5,11,15.49,19,7,false
643,WIN-89037,Portable Hammock,Lightweight hammock for easy setup anywhere.,6,8,27.99,21,11,true
644,UKR-03301,Adjustable Kitchen Broom Stand,Space-saving broom holder for organized cleaning supplies.,4,9,14.99,24,11,false
645,GDE-63747,Self-Adhesive Wallpaper,Peel and stick wallpaper for easy home decor changes.,2,4,34.99,13,7,false
646,ZMZ-54778,Multi-Port USB Hub,USB hub for expanding ports on computers and laptops.,2,9,19.99,19,7,false
647,XKV-57805,Jigsaw Puzzle,500-piece jigsaw puzzle featuring beautiful scenery.,6,24,14.99,13,7,true
648,HRU-57530,Peach Halves (canned),"Sweet peach halves packed in juice, great for desserts.",2,24,2.49,7,21,false
649,PBO-73687,Chipotle Lime Salsa,Spicy salsa with chipotle and lime for a zesty kick.,1,19,3.99,10,11,false
650,VWH-54894,Foldable Yoga Mat,Compact yoga mat that folds for easy storage and transport.,6,7,29.99,6,21,false
651,VET-54238,Faux Leather Leggings,Stylish faux leather leggings for a trendy outfit.,2,9,49.99,15,7,false
652,NNW-89074,Dog Collar,Adjustable dog collar with personalized tags.,4,7,15.99,11,21,true
653,PJY-69977,Air Purifier,HEPA air purifier for clean indoor air.,4,5,129.99,9,21,false
654,EVD-46515,Crispy Onion Rings,"Frozen onion rings, crispy and ready to bake.",2,2,4.29,12,7,false
655,QZH-56229,Personal Blender,Compact blender for quick smoothies and shakes.,3,8,39.99,12,21,false
656,NBN-93368,Pepperoni Pizza Roll-Ups,"Savory pizza filled with pepperoni and cheese, ready to microwave.",6,16,5.99,19,7,true
657,YKR-72583,Fitness Tracker Watch,Water-resistant activity tracker and smartwatch features.,5,2,79.99,12,21,true
658,JDO-04676,Multi-Purpose Scissors,Heavy-duty scissors for crafting and office use.,3,21,8.99,14,11,false
659,XIH-53259,Children's Art Set,All-in-one art set for kids to unleash creativity.,4,3,34.99,25,11,true
660,PIF-09865,Sriracha Chili Sauce,Spicy chili sauce with garlic and sugar for a flavor kick.,6,23,2.79,21,7,false
661,YWQ-76461,Shatterproof Wine Glasses,"Durable, unbreakable wine glasses for outdoor use.",6,25,24.99,8,11,false
662,QWU-35968,Mediterranean Chickpea Salad,"A refreshing salad with chickpeas, cucumber, tomatoes, and a light vinaigrette dressing.",5,23,5.99,25,7,true
663,FLT-00606,Ski Goggles,Anti-fog ski goggles for winter sports.,2,20,49.99,15,21,true
664,SYQ-54317,Bicycle Lock,Heavy-duty bicycle lock for security.,6,12,29.99,11,7,false
665,MAJ-36570,Memory Card,64GB SD memory card for cameras and devices.,2,15,15.99,11,7,false
666,XMA-20061,Almond Butter Crunch Bar,Nutritious snack bar made with almond butter and protein.,3,17,1.99,17,7,false
667,TNB-86781,Pressure Washer Accessories Kit,Essential attachments for pressure washing.,6,4,39.99,14,11,false
668,STN-16253,Low-Fat Yogurt,"Creamy yogurt with probiotics, available in various flavors.",5,25,3.29,25,21,false
669,EQV-16119,Active Racerback Tank,Lightweight and moisture-wicking racerback tank for workouts.,4,8,24.99,18,11,false
670,XGQ-30814,Voice-Controlled Speaker,Smart speaker with Alexa and music streaming features.,3,16,99.99,21,7,true
671,GQV-39951,Ankle Boots,"Stylish leather ankle boots with a block heel, perfect for fall styling.",1,7,89.99,21,21,false
672,OXE-43570,Memory Card,64GB SD memory card for cameras and devices.,2,18,15.99,13,11,false
673,EYX-74876,Granola,Crunchy and flavorful mix of oats and honey.,1,15,4.79,22,11,true
674,FIA-53399,Creamy Spinach Dip,"Deliciously creamy spinach dip, perfect for parties.",4,10,5.99,17,21,false
675,NJQ-61087,Portable Projector,Compact projector for movies and presentations on the go.,1,2,199.99,6,7,false
676,FEN-58200,Roasted Sweet Corn,Sweet corn roasted to perfection for a delightful side.,2,14,1.99,21,11,true
677,EDN-12787,Ceramic Knife Set,Set of ceramic knives for precision slicing.,6,19,39.99,12,21,true
678,INO-30233,LED Christmas Tree Lights,String lights for decorating holiday trees.,6,14,34.99,22,11,true
679,WHF-45279,Electric Wax Warmer,Wax warmer for creating a soothing atmosphere with fragrances.,6,12,22.99,24,21,false
680,VVY-12146,Vegetable Fried Rice Mix,A quick and easy fried rice mix with colorful veggies and savory seasoning.,4,7,3.99,14,21,true
681,TRQ-09329,Curried Lentil Salad,"A hearty salad with lentils, veggies, and curry dressing.",1,20,4.29,20,11,true
682,LNP-03044,Camera Tripod,Sturdy camera tripod for professional photography.,5,2,49.99,15,7,true
683,BBS-45739,Kombucha Drink,"Refreshing and tangy fermented tea, available in various flavors.",3,20,3.49,23,21,true
684,ZLK-93845,Faux Fur Coat,A luxurious faux fur coat that adds glamour to any outfit.,1,6,129.99,7,21,false
685,QUP-37292,Travel Shoe Bags Set,Set of breathable bags for organizing shoes while traveling.,4,18,15.99,25,11,false
686,DII-30636,Zucchini Noodles,"Spiralized zucchini, a healthy alternative to pasta.",1,22,3.99,8,7,false
687,HAQ-77576,Emergency Preparedness Kit,Complete kit for emergency situations including food and water.,1,25,99.99,23,11,true
688,YJL-02220,Gardening Tools Set,Complete set of gardening tools for outdoor tasks.,1,16,45,5,11,false
689,LYD-22548,Grilled Vegetable Medley,"A mix of grilled vegetables, ready to heat for quick side dishes.",2,12,4.49,8,11,false
690,SWS-22017,Pepperoni Pizza Rolls,"Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes.",4,2,6.99,16,11,false
691,YOV-29255,Solar String Lights,Eco-friendly string lights for outdoor decor.,4,18,29.99,12,7,false
692,BXT-10144,Slim Fit Chinos,Comfortable slim fit chinos for a polished look.,1,18,54.99,16,11,false
693,OKM-30296,Ice Pack,Reusable gel ice pack for injuries and cooling.,5,11,8.99,22,11,false
694,BJZ-07643,Peach Yogurt,Creamy peach-flavored yogurt with real fruit.,2,10,1.29,11,11,false
695,ZMR-91332,Heat-Resistant Silicone Mat,Protects surfaces while baking or cooking with hot items.,4,14,19.99,6,11,true
696,TMZ-13637,Luminous Night Light,Soft glow night light for children's rooms or bedside.,2,23,15.99,21,21,false
697,YKR-92129,Spicy Tuna Salad,"Ready-to-eat tuna salad with a spicy kick, perfect for sandwiches.",2,12,4.49,19,21,true
698,ZXW-66444,Spicy Italian Sausage,"Savory sausage with a blend of spices, perfect for pasta dishes.",4,25,4.99,20,21,true
699,TSP-97648,Pineapple Coconut Bars,Refreshing dessert bars made with pineapple and coconut.,6,17,3.79,11,11,false
700,NDT-69350,Herbal Garden Starter Kit,Indoor gardening kit with herbs and pots.,5,24,24.99,8,11,true
701,LWE-62401,Peanut Butter Banana Smoothie Mix,"Smoothie mix combining peanut butter and banana, great for a quick breakfast.",1,25,4.49,8,11,false
702,UZE-90093,Italian Sausage Links,Savory sausage links seasoned with Italian spices.,5,25,5.99,15,11,false
703,OBK-79906,Stainless Steel Grater,Multi-functional grater for cheese and vegetables.,5,24,14.99,17,7,false
704,RJD-54532,Pistachio Ice Cream,Creamy pistachio-flavored ice cream with real nuts.,4,4,4.99,9,7,true
705,CSR-40995,Gaming Mousepad,Oversized gaming mousepad with smooth surface.,3,4,19.99,11,21,true
706,TPP-73559,Chickpeas,"Canned chickpeas, perfect for hummus or salads.",5,9,1.29,14,7,false
707,ANN-28872,Heavy-Duty Utility Tote,"Large, durable tote bag for shopping and outdoor activities.",6,18,34.99,20,11,true
708,FNZ-93286,Kid's Fruit Snacks,Assorted fruit-flavored gummy snacks that kids love.,1,12,2.49,14,21,false
709,ZVX-44377,Smart Home Security Camera,Wi-Fi camera with motion detection for home security.,1,19,79.99,17,11,false
710,CHE-92743,LED Flashlight with Rechargeable Batteries,Bright flashlight with rechargeable batteries included.,2,23,19.99,7,21,true
711,KWJ-07894,Hiking Water Bottle with Filter,8oz water bottle with built-in filter for clean drinking water.,4,12,29.99,15,11,true
712,MRB-74671,Garden Tool Set,Complete set of gardening tools for all your needs.,4,10,34.99,7,21,false
713,OMR-60419,Maple Pecan Oatmeal Cookies,Soft oatmeal cookies with maple and pecans.,1,9,3.99,13,21,true
714,QXL-92391,Non-Stick Grill Mat,Reusable mat that prevents food from sticking to the grill.,4,12,19.99,15,21,false
715,KSO-95185,Wireless Gaming Headset,Comfortable headset with surround sound for immersive gaming.,2,8,89.99,25,11,true
716,LTA-28140,Mashed Sweet Potatoes,Creamy mashed sweet potatoes with a hint of cinnamon.,4,19,3.99,20,11,true
717,QOS-68292,Dog Walking Waist Pack,Hands-free waist pack for carrying essentials while walking your dog.,4,14,19.99,16,11,false
718,WJV-68639,Wireless Printer,Compact wireless printer for home use.,1,24,99.99,12,21,false
719,IFD-86213,Crispy Tofu Bites,"Crispy on the outside, tender on the inside, perfect for stir-fries or salads.",5,5,4.99,8,7,false
720,IXS-61544,Brown Sugar,"Raw brown sugar, perfect for baking or sweetening drinks.",5,17,1.79,8,7,true
721,VWR-81621,Key Finder,Bluetooth-enabled key tracker to find lost items easily.,3,6,19.99,5,21,true
722,IKI-62252,Smart Home Hub,Connect and control smart devices from one app.,3,5,99.99,7,11,true
723,LAX-62893,Canned Coconut Milk,"Rich coconut milk, great for cooking and baking.",6,5,1.89,22,21,true
724,LNZ-34014,Car Emergency Kit,Comprehensive emergency kit for roadside assistance.,3,11,49.99,22,21,true
725,ENJ-45590,Wireless Security System,Comprehensive camera and alert system for home security.,5,9,299.99,15,21,true
726,ALR-89011,Weighted Blanket for Adults,A calming blanket that provides gentle pressure for relaxation.,1,2,59.99,8,21,true
727,QWQ-70004,Samoas Cookie Mix,Baking mix to create your favorite Samoa-style cookies at home.,6,24,5.59,18,11,false
728,VOU-76607,Collapsible Folding Chair,Lightweight and portable chair for camping or events.,5,16,29.99,12,7,false
729,CTT-52301,Children's Educational Puzzle,Fun and educational puzzle set for kids.,2,7,19.99,13,7,false
730,KSB-32289,Pasta Primavera,Frozen vegetable primavera for quick meals.,1,2,4.99,8,11,true
731,HXT-39732,Digital Food Thermometer,Instant-read thermometer for accurate cooking temperatures.,1,9,19.99,15,11,false
732,AGC-90496,Cat Tree,Multi-level cat tree for climbing and scratching.,1,22,99.99,21,11,false
733,NTX-85237,Kids' Activity Book,Fun book filled with puzzles and games for kids.,6,18,14.99,6,21,false
734,IUT-02472,Handcrafted Wooden Jewelry Box,Beautifully crafted jewelry box with compartments for storage.,4,10,39.99,21,7,false
735,NZJ-39833,Silicone Cooking Utensils Set,Non-stick and heat-resistant utensils for cooking.,6,9,34.99,10,7,false
736,IQV-58906,Dried Apricots,"Sweet, chewy dried apricots, great for snacking or baking.",1,21,3.79,21,21,true
737,WOE-41964,Self-Massaging Pillow,Comfortable pillow with built-in massage features.,3,7,49.99,13,21,true
738,ONC-25626,Lightweight Workout Tank,Breathable tank top perfect for workouts or casual wear.,2,12,29.99,16,7,true
739,FXX-62918,Stuffed Bell Peppers,Bell peppers stuffed with rice and vegetables,5,4,5.99,22,11,true
